|Year|Diversity|Simpson_diversity_index|
|2010|1039|0.3893528125643265|
|2011|1321|0.5184700450322066|
|2012|8388|0.061208187271879155|
|2013|505|0.41228596984410937|
|2014|901|0.510425251590839|
|2015|2178|0.3967139155818401|
|2016|2177|0.2704200883933857|
|2017|2325|0.6097052120638116|
|2018|5419|0.38077440353416303|
|2019|385|0.667845709980337|
|2020|5185|0.5089715513498758|
|2021|3105|0.5968015074622498|
|2022|3894|0.6119279675698841|
|2023|905|0.6143144764896968|
