Atlantic silverside,Menidia,menidia,875,2011
Striped killifish,Fundulus,majalis,244,2011
Sheepshead minnow,Cyprinodon,variegatus,140,2011
Mummichog ,Fundulus,heteroclitus,29,2011
Banded killifish,Fundulus,diaphanus,20,2011
Rainwater killifish,Lucania,parva,7,2011
Jack,Chloroscombrus,sp.,3,2011
4-spine stickleback,Apeltes,quadracus,2,2011
Northern pipefish,Syngnathus,fuscus,1,2011
Atlantic silverside,Menidia ,menidia,791,2010
Striped killifish,Fundulus ,majalis,174,2010
Sheepshead minnow,Cyprinodon ,variegatus,60,2010
Banded killifish,Fundulus ,diaphanus,6,2010
Rainwater killifish,Luciana ,parva,3,2010
Tesselated darter,Etheostoma,olmstedi,2,2010
Bay anchovy,Anchoa,mitchelli,2,2010
Northern pipefish,Syngnathus ,fuscus,1,2010
